식품명,에너지,단백질,지방,탄수화물,1회제공량
스모크 닭다리,330,33,21,2,170.0
그릴 닭가슴살,120,18,1.1,4,100.0
유어스 갈비탕,140,15,6,5,400.0
구워먹는 치즈,298,20.07,18.75,12.35,100.0
멀티팩 슈레드 모짜렐라,300,23,21,5,100.0
서울우유 1000mL,60,3,3.4,4.5,100.0
빵또아 오리지널,200,3,6,33,180.0
밀크 카라멜 모나카,200,3.9,7.1,30.6,97.0
모자렐라 골든치즈 냉동,54,5,3,2,20.0
다핀다트 바닐라향 구슬아이스크림,115,2,6,13,50.0
서울우유 목장나들이 스트링치즈,60,4,5,0.1,18.0
콩기름,900,0,100,0,100.0
맥심 모카골드 라이트 커피믹스,50,0,1.7,9,12.0
맥심 화이트 골드 커피믹스,50,0,1.4,9,12.0
하얀 설탕,400,0,0,100,100.0
백설 스위트리 자일로스 설탕,400,0,0,100,100.0
유기농 흑설탕,400,0,0,100,100.0
더욱 달콤하고 바삭해진 엄마손파이,63,1,3.2,7,13.0
폭신폭신 말랑카우,635,7,19,109,158.0
청포도캔디,1260,1,0.2,314,323.0
다이제,480,6,20,69,100.0
칙촉 더블초코,435,5,24,50,90.0
농로 발효보리건빵,425,8,9,77,100.0
빅파이자몽,75,5,18,67,17.0
구워만든 곡물그대로21,560,5,36,54,100.0
돈코츠라멘,390,19,8,60,207.0
우동사리면,340,9,2.4,71,200.0
야끼우동,405,11,2.6,85,239.0
칸타타 원두커피 프리미엄 라떼,95,2,1.4,18,200.0
코카콜라,44,0,0,11,100.0
게토레이 레몬향,28,0,0,7,100.0
이프로 부족할때 복숭아,27,0,0,6.7,100.0
밀키스,90,0,0,23,190.0
튀김우동,425,10,4.4,86,243.0
청수 평양물냉면,547,18,4,109,180.0
데미소다 애플,100,0,0,25,250.0
사과우유맛 음료,192,5.1,5.4,30.6,340.0
누네띠네,521,5,29,60,100.0
환타 오렌지향,48,0,0,12,100.0
킨더 초콜릿 맥시 21G,119,1.8,7.4,11.4,21.0
밀크 소프트초콜릿,540,10,30,57,100.0
폭신폭신 말랑카우,15,1,0.5,2.5,4.0
밀크카라멜,470,5,11,88,115.0
리얼치즈봉,50,3,2.4,4,30.0
리얼크랩봉,45,3,1.3,5,30.0
화이트크런치 미니,150,3,8,16,28.0
밀크초콜릿 미니,135,3,5,19,28.0
쇼콜라소프트 밀크,430,9,23,46,80.0
마늘바게트,827,18.6,35.9,107.5,180.0
엄마의 시크릿 레시피 미니 생크림파운드,157,2,9,17,36.0
참참만쥬,106,2g미만,1.5,21,32.0
칸타타 스위트 아메리카노,16,0,0,4,100.0
레쓰비 스위트 아메리카노,10,0,0,3,100.0
레쓰비 마일드 카페,30,0,0,8,100.0
꿀호떡요요,73,1,1.4,14,25.0
허니 카스테라,512,10,12,91,150.0
찰보리 발효식빵,114,3,2.9,19,42.0
매일아침 토스트,272,10,4,49,100.0
통단팥이 가득 단팥빵,237,4,5,44,85.0
비비고 매운 왕교자,860,26,51,74,385.0
신 비비고 왕만두,183,7,11,14,100.0
CJ 비비고 왕교자,215,7,11,22,100.0
팔도 불짬뽕,550,13,19,82,139.0
춘천 막국수,505,13,20,68,130.0
진라면 순한맛,500,12,15,79,120.0
신라면 블랙,575,12,18,91,134.0
보글보글 부대찌개면,545,10,18,86,127.0
유기농 콩을 통째로 갈아만든 전두유 치아씨드&아몬드,85,6,4.7,6,190.0
유기농 콩을 통째로 갈아만든 전두유 통곡물,80,5,3.7,7,190.0
CJ 비비고 김치왕교자,735,27,25,100,420.0
CJ 비비고 찐만두,745,23,43,67,392.0
신 비비고 수교자,765,26,47,60,308.0
CJ 비비고 새우왕교자,555,25,21,67,315.0
블루베리쨈,52,0,0,13,20.0
사과쨈,245,0,0,61,100.0
플럼 오가닉스 유기농 파우치 2차 이유식 블루베리/배/자색당근,60,1,0,15,113.0
유기농 봄야채와 파스타 이유식,120,5,3,18,170.0
이롬 황성주 국산콩 닥터 C 무가당 두유,65,5,3,5,190.0
이롬 황성주 발아약콩 두유,140,8,6,13,190.0
참다음 유자청,55,0,0,14,20.0
참다음 오미자,80,0,0,20,20.0
오뚜기 단팥죽,325,12,1,67,285.0
오뚜기 참치죽,150,6,1.4,29,285.0
참깨 드레싱,350,3,30,17,100.0
키위 드레싱,70,1,0,17,100.0
청정원 매콤한 삼선짜장,140,4,3.4,23,180.0
아주 매운맛 소스,54,0,1.9,9,100.0
무농약 미숫가루,425,14,7,76,100.0
리얼킹 치즈,50,3,2.4,4,30.0
리얼킹 크랩,40,2,1.3,5,30.0
초코칩쿠키 믹스,1245,18,33,219,290.0
청정원 우리밀 튀김가루,1560,41,4.1,340,450.0
청정원 우리밀 부침가루,1555,42,2.3,342,450.0
트리플 머쉬룸 카레,230,5,13,23,250.0
비프 청크 카레,250,13,13,20,250.0
바른어묵 얇은 사각,170,9,4.7,23,100.0
바른 우리 아이 어묵국,165,9,4.2,23,100.0
도토리묵,40,0,0,10,100.0
동부묵,37,0,0,9,100.0
정선으뜸두부,55,5,1.1,6,60.0
쿠킷 감자전,405,7,0.8,92,120.0
쿠킷 김치전,320,10,1.5,67,120.0
쿠킷 호박전,580,12,6,119,150.0
초간편 콩전 믹스,395,21,9,57,100.0
초간편 감자전 믹스,350,7,0,80,100.0
우리아이 케찹,130,2,0,31,100.0
와사비 맛 어포스,115,7,1.3,19,30.0
광천 미스 김자반,35,0,3.5,1,5.0
커클랜드 시그니춰 유기농 스트로베리 스프레드,204,1,0,50,100.0
들기름에 구운 재래김,21,1,1,2,4.0
쌀 올리고당,310,1,0,76,100.0
박하향 사탕,16,0,0,4,4.0
청정원 사과 올리고당,320,0,0,81,100.0
올리고당,284,0,0,74,100.0
청정원 버섯크림 스파게티 소스,336,5,24,25,250.0
청정원 새송이버섯&갈릭 고르곤졸라 스파게티 소스,310,6,21,24,250.0
도나스 가루,365,7,1.4,81,100.0
쵸코핫케이크 가루,375,7,2.3,81,100.0
서울우유 100%,130,6,8,9,200.0
요플레 오리지널,85,3,2.5,13,85.0
서울우유 체다슬라이스 치즈,65,3.8,5.5,0.6,20.0
바밤바 컵,140,2,6,20,100.0
목장나들이 신선한 국산우유로 만든 구워구워 치즈,353,25,27,1.6,100.0
굿밀크,70,3,4,5,100.0
굿밀크 바나나우유,325,15,15,35,500.0
김밥용 햄,215,13,14,9,100.0
