식품명,에너지,단백질,지방,탄수화물,1회제공량
다크초콜릿커버춰칩 아이보리코스트 60%,555,5.8,39,45,100.0
밀크초콜릿커버춰칩 38% 말렌테,602,7.7,43,46,100.0
화이트초콜릿칩 쇼크웨이스 33%,593,6.2,40,52,100.0
올리오 나지오날레 엑스트라 버진 올리브 오일(73940),820,0,91.3,0,100.0
올리오 나지오날레 엑스트라 버진 올리브 오일(73940),824.4,0,91.6,0,100.0
올리오 스플렌디도 엑스트라버진 올리브 오일(73938),824,0,91.6,0,100.0
바인리히 다크 커버처 드롭 초콜릿,520,6.3,35.4,43.8,100.0
바인리히 다크 커버처 드롭 초콜릿,551,7,35.9,45,100.0
바인리히 다크커버처 초콜릿,526,6.3,32.6,46.8,100.0
바인리히 밀크 커버처 드롭 초콜릿,570,6.2,38.5,50.8,100.0
바인리히 밀크커버처 초콜릿,549,6.9,33.3,53.8,100.0
바인리히 화이트 커버처 드롭 초콜릿,580,5.4,38.3,54,100.0
바인리히 화이트초콜릿,570,6.4,36.1,54.9,100.0
바인리히 화이트커버처 초콜릿,572,6.5,36.4,54.7,100.0
알찬당면,360,1,0,90,100.0
감자납작면(콴펀),200,0,0,50,100.0
비엣코코 엑스트라 버진 코코넛 오일,900,0,99.98,0,100.0
마리코타 반구운 크림치즈롤,275,9.6,15,25,100.0
마리코타 반구운 크림치즈롤(300g),300,7.5,17.5,28,100.0
마리코타 전통 반구운 치즈롤 위드 크림치즈(1.25kg),246,9.6,12,25,100.0
마리코타 전통 반구운 치즈롤(1.25kg),266,6.4,12,33,100.0
브라우니 바이트,465,5,25,55,100.0
반미,241,6,2.3,40,60.0
마이 올리브 오일 그릭 엑스트라 버진 올리브 오일,4140,0,460,0,500.0
밀크 초콜렛,594.82,6.14,41.14,50,100.0
초콜렛 55%,584.5,5.36,38.61,53.88,100.0
초콜렛 70%,596.29,8.81,41.61,46.64,100.0
네가지 과일맛 마멀레이드,269,0.4,0.1,66.8,100.0
네가지맛 베리 프리저브,271,0.5,0.1,67.1,100.0
레몬 앤 라임 마말레이드,267,0.2,0,66.5,100.0
로지 애플,362,0,0.6,88.4,100.0
맥케이딸기잼,260,0,0,65,100.0
맥케이라즈베리쨈,280,0,0,70,100.0
맥케이블루베리와블랙커런트잼,260,0,0,65,100.0
맥케이오렌지마멀레이드,360,0,0,90,100.0
버터 진저,365,0.2,1.6,86.7,100.0
블랙커런트 & 블루베리 프리저브,272,0.4,0,67.4,100.0
블루베리 라즈베리향 캔디,362,0,0.6,88.3,100.0
샤벳 스트로우,360,0,0,89.8,100.0
스카티쉬 스트로베리 프리저브,269,0.4,0,66.8,100.0
스트로베리 앤 크림향 캔디,362,0,0.6,88.3,100.0
애플소스 위드 사과주스,264,0.2,0,65.5,100.0
트로피컬 푸르츠맛 캔디,362,0,0.6,88.3,100.0
프루트 마블,360,0,0,89.1,100.0
핑크 자몽 마말레이드,269,0.4,0,66.8,100.0
레몬치즈 케이크,321,3,21,30,100.0
바닐라치즈 케이크,347,6,23,29,100.0
미니 팔미에 20g,420,5,28,37,100.0
사크리스탱,417,4,25,44,100.0
초콜릿 가나슈 타르트 10cm,459,5,27,49,107.0
파이유,308,3,20,29,75.0
팔미에,330,3,22,30,80.0
노니주스,50,0,0,12,100.0
마카파 쉘,347,12,1.3,71,100.0
마카파 스피리얼,347,12,1.3,71,100.0
마카파 코일리스,343,12,1.3,71,100.0
마카파 페더아마추어,347,12,1.3,71,100.0
마카파 혼스,363,12,1.3,76,100.0
부드러운 밀크 바움,247,4,11,33,65.0
쿠주키리,353,0.1,0.1,88,100.0
아카디아 드링킹 초콜릿 40% 믹스,10.39,4.1,4.7,11.3,100.0
차가티스파이스,44.4,0.2,1.1,8.2,100.0
로렌조 1 유기농 올리브오일,830,0,92,0,100.0
로렌조 3 유기농 올리브오일,830,0,92,0,100.0
바르베라 시칠리아 엑스트라버진 올리브유,820,0,92,0,100.0
바르베라 시칠리아 유기농 엑스트라버진 올리브유,820,0,92,0,100.0
셀레지오네 유니카 엑스트라버진 올리브오일,820,0,92,0,100.0
얼라이브 엑스트라 버진,830,0,92,0,100.0
울리베띠 카를로 유기농 엑스트라버진 올리브오일,828,0,92,0,100.0
지아르디니 카를로 유기농 엑스트라버진 올리브오일,828,0,92,0,100.0
쌈빵,262,8,3.8,48.9,100.0
까레 다크 스트로베리 (70338),516,5,28,61,100.0
까레 다크 페루 (70314),575,7,39,49,100.0
까레 밀크 벨지안 와퍼 (70339),530,8,30,57,100.0
까레 밀크 브레실리엔느 (70313),551,8,31,60,100.0
레몬 티 초콜릿 (76851),578,5,42,45,100.0
리치 초콜릿 (76850),578,6,42,44,100.0
멕시칸 초콜릿 (76843),512,5,32,51,100.0
세이버리 넛츠 (76852),613,8,45,44,100.0
시그니처 레 2 (71561),520,6,32,52,100.0
크리미 카라멜 초콜릿 (76854),563,5,39,48,100.0
퍼시픽초이스 유기농 사과주스,48,0,0,12,100.0
레모나다,236,0,0,59,100.0
아리조나 무초 망고,30,0,0,8,100.0
아리조나 카우보이 칵테일 무초망고,33.2,0,0,8.4,100.0
아리조나 카우보이 칵테일 워터메론,33.2,0,0,9.2,100.0
로렌조 오일,807,0,89.7,0,100.0
라우데미오 엑스트라 버진 올리브 오일,808,0,100,0,100.0
델몬트 피티드푸룬,70,0.5,0,17,30.0
레몬맛그린빈모양젤리빈,332,0,0,83,100.0
레몬향블루베리맛숏브레드,360,0,0,90,100.0
베리앤체리젤리빈,360,0,0,90,100.0
복숭아맛그린빈모양젤리빈,332,0,0,83,100.0
"블루베리,아사이그린빈모양젤리빈",360,0,0,90,100.0
사과맛그린빈모양젤리빈,348,0,0,87,100.0
사우어젤리빈,360,0,0,90,100.0
수박맛그린빈모양젤리빈,372,0,0,93,100.0
"얌베리,그린티그린빈모양젤리빈",360,0,0,90,100.0
어솔티드그린빈,360,0,0,90,100.0
오렌지맛그린빈모양젤리빈,360,0,0,90,100.0
체리맛그린빈모양젤리빈,332,0,0,83,100.0
치즈향캐러멜,471,3,23,63,100.0
파인애플맛그린빈모양젤리빈,360,0,0,90,100.0
포도맛그린빈모양젤리빈,360,0,0,90,100.0
마리브리자드 코코넛향 시럽 음료베이스,328,0.6,0.01,123,100.0
말렌카 허니 케이크 위드 월넛,422,5.8,23,48,100.0
도브 밀크 초콜릿 벌크(10112497-5KG),540,6,32,57,100.0
도브 프라미스 다크(10164958),555,5,33,60,100.0
도브 프라미스 밀크 (탈지우유 13%)(10164962),555,5,33,60,100.0
"도브 프라미스 밀크 (탈지우유 13%,유지방8%)(10164962)",555,5,33,60,100.0
우스탐 바클라바,891,0,99,0,100.0
필스버리 초콜릿 크림 케익 베이스,386,6.2,5.6,79.4,100.0
필스버리 초콜릿 크림 케익 베이스 믹스,386,6.2,5.6,79.4,100.0
필스버리 크림케익 베이스 믹스,395,4.3,5.4,82.3,100.0
로렉스 초콜릿,575,7,43,40,100.0
마카로니 디 토스까나,357,13.1,1.6,72.5,100.0
스파게티,357,13.1,1.6,72.5,100.0
스파게티니,357,13.1,1.6,72.5,100.0
펜네 클라시케,357,13.1,1.6,72.5,100.0
푸실리 디 피사,357,13.1,1.6,72.5,100.0
레몬 머랭 타르트,290,5.58,8.62,47.45,100.0
치즈케이크 뉴욕,365,4.9,25.35,29.51,100.0
치즈케이크 카라멜,370,4.84,24.44,32.31,100.0
타프트 델 논노,335,4.68,15.5,43.78,100.0
에치고 메이산 소면,347,9.8,1.7,73,100.0
에치고 메이산 우동,346,9.1,1.5,74,100.0
다시이리 프로아카 미소,180.8,11.4,3.6,25.7,100.0
디스펜서용 아와세 미소,167.5,6.7,6.7,20.1,100.0
마루코메 시로미소 20KG(백미소),197.9,11.6,6.7,22.8,100.0
마루코메 아카미소 20KG (적미소),198.3,11.3,6.3,24.1,100.0
마루코메군코시,175,14,7,14,100.0
마루코메쿤 아와세,171.5,14,3.5,21,100.0
마루코메쿤 아와세,170,12,4.9,19.6,100.0
시로 미소,200,10,0,40,100.0
시로 미소,241.8,7.7,3,46,100.0
액상미소,132,7.4,2.7,19.6,100.0
잇큐상 마루코메 미소,186,11,6,22,100.0
프로시로 미소,200,11.6,6.4,24,100.0
프로아카 미소 1kg,198.3,11.3,6.3,24.1,100.0
프로아카 미소 1kg,198.3,11,6.3,24.4,100.0
쯔부앙도라야키,331,6.5,6.1,62.9,100.0
쿠리이리도라야키,315,6.5,6,58.6,100.0
생크림 와플,435,9,22,50,100.0
생크림 케이크,445,6,26,47,100.0
생크림 케익,445,6,26,47,100.0
밀크도너츠,435,6,22,53,100.0
홋구리만쥬,334,6,1.5,74,100.0
카루이자와믹스,392,5,4,89,100.0
고시고우지 미소,28,2,0.9,3,15.0
고시고우지 미소,28,2,0.9,3,15.0
아까다시고지 미소,30,2,0.7,4,15.0
아와세 미소,28,2,0.9,3,15.0
아와세 미소(10KG),28,2,0.9,3,15.0
컵 미소 아와세,27,2,0.8,3,15.0
컵 미소 아와세,28,2,0.9,3,15.0
컵미소-아와세,28,2,0.9,3,15.0
토로케루미소-아와세,16,1,0.4,2,15.0
사이다향네리쵸,30,0.1,0,7.4,8.0
나가사키 카스테라,344.4,73,9.2,58,100.0
아사히 마츠야 사이다,44,0,0,11,100.0
친수 갈릭 앤 칠리 소이소스,76,12.7,0,6.36,100.0
친수 프리미엄 소이소스,26,2.02,0,4.47,100.0
마시아 엘 알텟 엑스트라버진 올리브오일 프리미엄,820,0,91,0,100.0
마시아 엘 알텟 엑스트라버진 올리브오일 하이퀄리티,825,0,91,0,100.0
엑스트라 버진 올리브유,900,0,100,0,100.0
미스터믹스 바닐라,352,0,0,88,100.0
빙홍차 음료,194,0,0,48.5,500.0
나카미소(시로),189.9,10.3,5.5,24.8,100.0
나카미소(아카),189.9,10.3,5.5,24.8,100.0
자이언트 콜라 바틀,340,7.4,0,26.5,100.0
콜라 바틀 젤리,340,7.4,0,76.5,100.0
파인애플 모양 젤리,340,6.1,0,78.2,100.0
딸기농축액(80%),18,0,0,4,10.0
레몬농축액(레몬농축99.6%),18.2,0.1,0,4.4,10.0
블루베리농축액(97.6%),22.4,0,0,5.5,10.0
사과농축액(사과농축액81.5%),18.42,0,0,5,10.0
애플망고농축액(79.16%),23.32,0.03,0,5.8,10.0
오렌지농축액(91.8%),17.03,0.2,0,4.6,10.0
자몽농축액(99.9%),16.5,0,0,4.1,10.0
청포도농축액(78%),16.5,0,0,4.7,10.0
패션프루트농축액(98.8%),23.32,0.03,0,5.8,10.0
그라나다 38%,580,7.8,38.8,50.1,100.0
그라나다 65%,595,5.7,42.4,48,100.0
마다카스카르 64%,95,1,7,7,15.0
마라카이보 88%,95,2,8,5,15.0
마라카이보 인텐소 66%,530,7,39,38,100.0
마라카이보 크레시피카도 65%,95,1,7,7,15.0
마라카이보 크레오레 49%,100,1,7,8,15.0
사오팔메 60%,550,6,39,43,100.0
슈프레모 62%,2595,33,189,180,500.0
암브라 38%,90,1,6,8,15.0
에델바이스,90,1,6,8,15.0
오프스 라잇 38%,85,1,6,7,15.0
울트라다크엠,95,1,11,9,15.0
쟌뒤야다크,85,1,9,9,15.0
카카오닙스 크로칸트,160,2,10,16,30.0
카카오닙스 크로칸트,505,7,34,42,100.0
코코스 쟌뒤야,90,0.5,6,9,15.0
펠코 론도 52%,95,1,6,9,15.0
벨라지오 초코 파우더,363,7.9,2.5,77.3,100.0
차이 티 파우더,387,4.5,1,90,100.0
크림 바닐라믹스 파우더,410,4,5.7,85.3,100.0
크림 요거트향 믹스 파우더,395,5,2.1,89,100.0
크림 프라페 파우더,410,4,5.7,85.3,100.0
크림초코 파우더,424,6.2,11.1,74.8,100.0
석류 농축액,325.21,2.48,0.03,200.73,250.0
사라 리 오리지날 베이크드 치즈케익,357,5,25,28,100.0
사라 리 초콜릿 케익,368,4,16,52,100.0
오가닉 비트주스 100,33,0,0,8.3,100.0
오일라라 파이브스타 엑스트라버진 올리브오일(5L),720,0,84,0,100.0
트러플 엑스트라 버진 올리브오일,828,0,92,0,100.0
화이트트러플 엑스트라 버진 올리브오일,828,0,92,0,100.0
얼음모양사탕,400,0,0,100,100.0
선사편,159,0.6,0.7,96,100.0
톡톡분말,376.85,0,0,92.5,100.0
팝핑캔디,410,0,0,92.5,100.0
팝핑캔디,388,0,0,97,100.0
퍼핑캔디,388,0,0,97,100.0
딸기향 파우더,411,0,7,87,100.0
망고시럽,264,0,0,66,100.0
산타클로스 다크 코코아 파우더,383,13,7,67,100.0
코코넛밀크 파우더,411,0,20,73,100.0
크리스탈 윈터멜론,200,0,0,50,100.0
타로 파우더,411,0,7,87,100.0
파인애플 시럽,176,1,0,43,100.0
허니듀멜론향 파우더,411,0,7,87,100.0
현미녹차 검은콩 마차 파우더,411,7,7,80,100.0
고올레산 해바라기유,899,0,100,0,100.0
빈 앤 시리얼 스프 810g,130,7.1,5.4,14,100.0
딸기잼 (143089),181,0.6,0.3,44,100.0
라즈베리잼 (137757),177,0.9,0.2,43,100.0
멘즈앤가써 딸기잼,127,1,0.4,30,100.0
멘즈앤가써 라즈베리잼,119,1,0.3,28,100.0
멘즈앤가써 복숭아&패션프루트잼,125,1,0.2,30,100.0
멘즈앤가써 블루베리잼,123,1,0.5,29,100.0
멘즈앤가써 살구잼,124,1,0,30,100.0
멘즈앤가써 체리잼,125,1,0.3,30,100.0
멘즈앤가써 포레스트베리잼,125,1,0.5,29,100.0
복숭아잼 (137754),179,0.5,0.1,44,100.0
블랙베리잼 (137756),182,0.8,0.7,43,100.0
살구잼 (137751),179,0.6,0.1,44,100.0
스트로베리 잼(0200113),236,0,0,59,100.0
오렌지 잼,236,0,0,59,100.0
오렌지마멀레이드 (150049),199,0.4,0.1,49,100.0
체리잼 (137755),180,0.6,0.2,44,100.0
커클랜드 시그니춰 올리브유,830,0,92,0,100.0
커클랜드 시그니춰 퓨어 올리브유,830,0,92,0,100.0
메리디안 유기농 스무드 땅콩버터,579,29.6,46,11.6,100.0
메리디안 유기농 크런치 땅콩버터,579,29.6,46,11.6,100.0
로즈 플레이버 터키쉬딜라이트 (350g),373,0.1,0.1,92.9,100.0
믹스플레이버 터키쉬딜라이트 (125g),373,0.1,0.1,92.9,100.0
"터키쉬딜라이트 위드 헤이즐넛, 피스타치오, 코코넛 (125g)",407,3.6,7.3,80.7,100.0
피스타치오 터키쉬딜라이트 (350g),407,3.6,7.3,80.7,100.0
헤이즐넛 터키쉬딜라이트 (125g),407,3.6,7.3,80.7,100.0
패션프루트쥬스,77.8,1.7,1.4,14.6,100.0
소프트서브믹스 셀렉티드스트로베리,90,0.9,0,22,100.0
미니 라즈베리 크라운 (639221),341,4,21,34,100.0
미니 메이플 피칸 플레이트 (639223),407,5,27,36,100.0
미니 메이플 피칸 플레이트 (639223),407,5,27,36,100.0
미니 바닐라 크라운 (639220),329,4,21,31,100.0
미니 바닐라 크라운 (639220),329,4,21,31,100.0
미니 시나몬 훨 (639222),376,4,24,36,100.0
미니 시나몬 훨 (639222),385,3.7,24,38,100.0
미니 애플 크라운 (639224),335,3,21,33,100.0
쌀국수,345,5.6,0,80.6,100.0
딸리아텔레,302,11,4.2,58,100.0
말타리아티,302,11,4.2,58,100.0
파파르델레,302,11,4.2,58,100.0
하우스붐 스파클링 주스 구아바맛,152,0,0,38,100.0
하우스붐 스파클링 주스 블랙커런트맛,152,0,0,38,100.0
40 휘트 또띨라,185,5,5,30,67.0
초콜릿칩 쿠키 도우(61591),458,1.8,23,61,100.0
클래식 더블 초콜릿 칩 쿠키 도우(81596),406,2.3,21,52,100.0
클래식 청키 초콜릿 쿠키 도우(81598),386,2.3,19,52,100.0
클래식 피넛 칩 쿠키 도우(81594),453,2.3,24,57,100.0
화이트칩 마카다미아 쿠키 도우(61595),395,1.5,21,50,100.0
미도리진한간장,0,0.35,0,0.3,5.0
미에스코 프랄린 에스프레소 초콜릿,428,3.7,21,56,100.0
돈 마르셀로 올리브유,819,0,91,0,100.0
라만차 포도씨유,900,0,100,0,100.0
사브로소 엑스트라버진 올리브유(1L),819,0,91,0,100.0
사브로소 포도씨유(1L),828,0,92,0,100.0
사브로소 퓨어 올리브유,819,0,91,0,100.0
안달루시아산 올리브유,900,0,100,0,100.0
안달루시아산 퓨어 올리브유,900,0,100,0,100.0
유러피안 해바라기유,900,0,100,0,100.0
푸엔테 데 비다 해바라기유,830,0,92,0,100.0
유자 & 금귤 캔디,148,0,0,36.9,38.0
토쿠노 밀크 캔디,407,3.1,7,83,100.0
밀크티 파우더,460,2,15,80,100.0
아프리 (330ML),88,0,0,22,200.0
건조찰당면,340,0,0,85,100.0
당면,345,0,0,85,100.0
보아스찰당면,360,0,0,90,100.0
절단당면,344,0,0,85,100.0
중해찰당면,360,0,0,90,100.0
라이스페이퍼,875,8.7,0,210,100.0
마이너 피겨 귀리음료,57.7,0.2,2.1,9.5,100.0
모링가종자오일,897,0.66,99.3,0,100.0
치라시스시,127,2.1,0.2,29.3,100.0
12인치 씬크러스트 피자도우,348.9,7.9,12.5,51,100.0
미션 난 갈릭앤허브,292,8,4.3,56.3,100.0
미션 난 플레인,317,4.6,4.6,63.6,100.0
씬크러스트 피자 베이스 G/10.5kg,370,9.8,11.8,56.1,100.0
팬 크러스트 피자 베이스,248,8.5,2.9,44.3,100.0
밀가루또띠아,305,7,9,49,100.0
콘또띠아,228,5.3,2.7,45.6,100.0
프리커트 언프라이드,228,5.3,2.7,45.6,100.0
화이트콘 또띠아 칩(4등분),228.7,5.6,2.3,46.4,100.0
골드파스타 링귀네,358,14,2.9,69,100.0
골드파스타 페투치네,357,14,2.8,69,100.0
"미와무지개소면(350g,2019.06.25)",342,11.4,1.7,70,100.0
"미와소면(250g,2019.08.07)",336,11.1,1.5,69.4,100.0
미와수연소면,340,11,1.8,70,100.0
고이구치간장,97,9,0,14,100.0
사시미간장,114,10.2,0,17.2,100.0
사쿠라우스구치간장,51,6.8,0,5.9,100.0
유데야끼소바,239,8.2,2.7,45.1,150.0
요시와라 요깡,287,3.8,0.2,67.4,100.0
포데이즈 DN 콜라겐,68,11.9,0,10.1,100.0
모나 쇼트닝,900,0,100,0,100.0
쇼트닝-369,900,0,100,0,100.0
꼰낄리오니 리가띠,345,14,2,69,100.0
데체코 페투칠레,351,70,7.5,345,100.0
따그라텔레,345,14,1.5,69.2,100.0
라자냐,345,14,1.5,69,100.0
로텔레,345,14,1.5,69.2,100.0
로텔레,345,14,1.5,69,100.0
루마코니 리가티,345,14,1.5,69.2,100.0
리가토니,345,14,1.5,69,100.0
리소,345,14,1.5,69.2,100.0
링귀네,351,14,1.5,71.9,100.0
링귀니,345,14,1.5,69.2,100.0
스파게텔리,345,14,1.5,69,100.0
스파게티,351,14,1.5,69,100.0
스파게티(1kg),345,14,1.5,69.2,100.0
스파게티니(1kg),345,14,1.5,69.2,100.0
카사레치아,346.3,14,1.5,69.2,100.0
카펠리니,345,14,1.5,69.2,100.0
콘치글리 리가테,345,14,1.5,69.2,100.0
트리폴린,345,14,1.5,69.2,100.0
파케리,345,14,1.5,69.2,100.0
파파델리,345,14,1.5,69.2,100.0
파파델리,345,14,1.5,69,100.0
페델리니,345,13,1.5,70.2,100.0
펜네 리가테,345,14,1.5,69.2,100.0
푸실리,345,14,1.5,69.2,100.0
푸실리,345,14,1.5,69.2,100.0
고메크로와상,365,7,24,30,100.0
넛츠 카라쿨라,374,5,22,39,100.0
다네사,337,4,16,44,100.0
묄푀유 파이,356,5,16,48,100.0
미니카카오나폴리타나,376,6,21,41,100.0
미니크로와상 고메,365,7,24,30,100.0
미니크로와상 플러스,361,7,22,33,100.0
미니크림나폴리타나,301,5,17,32,100.0
미니파인카카오크레마고메,387,6,23,39,100.0
보카타바게트러스티코,245,8,1,51,100.0
씨리얼 크로와상,304,7,20,24,85.0
씨리얼 팔미에,403,6,27,34,100.0
애플시나몬데니쉬,368,6,18,46,120.0
초코맥시크로와상,311,7,25,35,100.0
카라쿨라,328,7,17,36,115.0
카카오크로와상,420,7,25,37,100.0
카카오크림나폴리타나,419,6,23,45,110.0
크로와상 플러스 렉토 엠티큐,354,7,22,32,100.0
포스트레만자냐고메,263,4,13,33,100.0
햄치즈나폴리타나,350,8,23,28,110.0
캐드베리 데어리밀크(150g),530,8,30,57,100.0
캐드베리 버블리밀크,539,8,31,57,100.0
캐드베리 트월 (168g),534,8,30,58,100.0
사워 패치 키즈,520,0,0,130,141.0
사워 패치 키즈 익스트림,408,0,0,102,113.0
밀크 초콜릿 롤(3100303),544,5,32,59,100.0
밀크 초콜릿 바,527,6,31,56,100.0
밀크 초콜릿 바(3100103),527,6,31,56,100.0
토블론 타이니 다크,521,6,33,50,100.0
토블론 타이니 밀크,42,0.4,2.3,4.8,8.0
밀카 냅스 밀크,530,6,30,59,100.0
밀카 냅스 스트로베리,540,5,33,56,100.0
밀카 미니 알프스밀크,530,6,30,59,100.0
라임 란초 컨센트레이트,21,0.2,0.3,1,100.0
라즈베리 프룻 믹스,265,1,0,65,100.0
라즈베리 프룻 믹스,354,1,0,87,100.0
레드 그레이프프룻 프룻믹스,315,0.4,0,77,100.0
망고 프룻 믹스,366,0,0,88,100.0
바나나 프룻 믹스,2340,1,0,58,100.0
바나나 프룻 믹스,302,1,0,74,100.0
스트로베리 프룻믹스,256,1,0,63,100.0
스트로베리 프룻믹스,338,1,0,83,100.0
아주키 레드빈 믹스,386,4,0,91,100.0
유쥬 프룻 믹스,304,0,0,75,100.0
체리 프룻믹스,256,0.5,0,62,100.0
체리 프룻믹스,338,1,0,82,100.0
코코넛 프룻 믹스,366,2,9,57,100.0
코코넛 프룻 믹스,389,2,11,71,100.0
패션프룻 프룻 믹스,350,2,0,85,100.0
피치 프룻 믹스,240,0,0,60,100.0
피치 프룻 믹스,309,1,0,77,100.0
모니니 안포라 퓨어 올리브오일 1000ML,828,0,92,0,100.0
모니니 엑스트라버진 갈릭 앤 칠리향 오일,828,0,92,0,100.0
모니니 엑스트라버진 레몬향오일,828,0,92,0,100.0
모니니 엑스트라버진 로즈마리향오일,828,0,92,0,100.0
모니니 엑스트라버진 바질향 오일,828,0,92,0,100.0
모니니 엑스트라버진 블랙트러플향 오일,828,0,92,0,100.0
모니니 엑스트라버진 화이트트러플향오일,828,0,92,0,100.0
모니니 유기농 모노컬티바 엑스트라버진 올리브오일,828,0,92,0,100.0
모니니 유기농 클라시코엑스트라버진 올리브오일,824,0,92,0,100.0
모니니 클라시코 엑스트라버진올리브오일 1000ml,828,0,92,0,100.0
모니니 클라시코 엑스트라버진올리브오일 200ML (스프레이타입),828,0,92,0,100.0
모니니 포도씨오일 (1000ml),828,0,92,0,100.0
토스카노 엑스트라버진올리브유,809,0,89,2,100.0
도미너스 엑스트라 버진 올리브 오일,899,0,100,0,100.0
"문위스퍼 엑스트라 버진 코코넛오일(450ML,유리)",800,0,88.9,0,100.0
"문위스퍼 유기농 엑스트라 버진 코코넛오일(450ML,유리)",800,0,88.9,0,100.0
타히티안 노니 주스,50,0,0,10,100.0
타히티안노니 엔-코어,50,0.3,0.1,12,100.0
타히티안클래식,50,0,0,10,100.0
트루에이지 맥스,84,0.5,0.2,20,100.0
쿠로마메허브차,0,0,0,0,100.0
사시미타마리 쇼유,95,9.8,0.4,13,100.0
타마리 쇼유,77.9,8.2,0.3,10.6,100.0
엑스트라버진올리브 오일,900,0,100,0,100.0
냉동레드빈번타피오카볼,234,5.7,3.7,45.5,100.0
냉동스팀번타피오카볼,238,4.8,4.6,45.2,100.0
냉동타로번타피오카볼,237,5.2,3.7,45.7,100.0
나카카아 비이쿠(오카라 파우더),308,22.1,11.6,56.3,100.0
마시는 오카라 파우더,308,22.1,11.6,56.3,100.0
유기농 당근사과 주스,39,0.3,0.13,9.1,100.0
유기농 비트루트 주스,44,1,0.1,9.7,100.0
유기농 사과 주스,46,0.1,0.1,11,100.0
킹 커피 구오메이 블렌드,20,4,0,4,100.0
킹 커피 인스파이어 블렌드,20,4,0,4,100.0
킹 커피 인스파이어 블렌드,20,10,0,10,100.0
킹 커피 3IN1 인스턴트커피,70,1,2,12,16.0
옥수수국수,354,7.2,0,79.9,100.0
마일드 올리브 오일,830,0,92,0,100.0
벤타 델 바론 엑스트라버진올리브오일,824,0,93,0,100.0
벨타 델 바론 (500ML),828,0,92,0,100.0
엑스트라 버진 올리브 오일,828,0,92,0,100.0
엑스트라 버진 올리브 오일,820,0,91.3,0,100.0
엑스트라 버진 올리브유,900,0,98,0,100.0
포마스 올리브 오일,828,0,92,0,100.0
포마스 올리브 오일,830,0,92,0,100.0
포마스 올리브오일,828,0,92,0,100.0
라리 엑스트라 버진 올리브 오일,828,0,92,0,100.0
라리 포도씨유,828,0,92,0,100.0
라리 포마스 올리브 오일,828,0,92,0,100.0
라리 퓨어 올리브 오일,828,0,92,0,100.0
아세이테 오루조 데 올리바 콘 아세이테 데 지라솔,828,0,92,0,100.0
이나니와 우동,343,10.1,1.3,72.8,100.0
이나니와 우동,337,10,1,72,100.0
냉동 슈생지,309,1,21,29,100.0
링슈,261,1,17,26,100.0
카츠카츠,260,7,16,22,100.0
쿠키 쉬트,483,0,27,60,100.0
피칸 펌킨잼 (473736),164,0,0,41,100.0
피칸 펌킨잼 [473736],188,0,0,47,100.0
리고 레몬주스,24,0,0,6,100.0
미미(味米) 생쌀국수,347,6.7,0,78.5,100.0
무랄리아 레몬 드레싱 오일,810,0,90,0,100.0
무랄리아 엑스트라 버진 올리브 오일 미디움 (250ml),810,0,90,0,100.0
무랄리아 엑스트라 버진 올리브 오일 인텐스 (250ml),810,0,90,0,100.0
무랄리아 엑스트라 버진 올리브 오일 피티드,810,0,90,0,100.0
에센자 이부 메디오 올리브유 (106783),810,0,90,0,100.0
에센자 인텐스 엑스트라 버진 올리브 오일 (106782),810,0,90,0,100.0
엑스트라 버진 올리브 오일 레인보우 (136424),810,0,90,0,100.0
엑스트라 버진 올리브 오일 포카닷 (144019),810,0,90,0,100.0
아이시토토 우루오이 센겐 유자맛,141.2,9.7,0,25.6,100.0
무틀루 스파게티,362,22,1.1,74.5,100.0
무틀루 트리칼라 푸실리,370,11,1,74.5,100.0
버진 코코넛 오일,837,0,93,0,100.0
블랙트러플 오일,890,0,99,0,100.0
화이트트러플 오일,896,0,100,0,100.0
운올리보 유기농 엑스트라버진 올리브오일,900,0,100,0,100.0
고토우 우동,336,11.5,1.1,69.9,100.0
네이키드 그린 머쉰,60,1,0,14,100.0
(NFC)노니주스,38,0,0,9.5,100.0
골드라이프 100% 노니주스,36,0,0,9,100.0
노니 주스 100,28,0,0,7,100.0
노니원액,30,1,0,8,100.0
노니주스,38,0,0,9.5,100.0
노니주스,32,0,0,8,100.0
노니주스,32,0,0,8,100.0
노니주스,36,1,0,8,100.0
노니주스,36,0,0,9,100.0
노니쥬스,35,0,0,9,100.0
리얼퓨어노니주스,40,0,0,10,100.0
비넛 람부탄 음료,44,0,0,11,100.0
비넛 망고스틴 음료,40,0,0,10,100.0
비넛 믹스후르츠 음료,40,0,0,10,100.0
비넛 파파야 음료,44,0,0,11,100.0
비넛 퓨어 노니주스,36,1,0,8,100.0
비넛깔라만시,36,0,0,9,100.0
비넛노니원액,30,0,0,8,100.0
비넛노니주스,36,0,0,9,100.0
비엣퓨어 100% 노니주스,36,0,0,9,100.0
순수노니100%,39,0,0.5,9,100.0
아티초크차,28,0,0,7,100.0
코코넛워터,32,0,0,8,100.0
하이비 코코넛워터,32,0,0,8,100.0
트래디셔널 터키쉬 딜라이트 (더블 로스티드 피스타치오)-200g,460,5,15,77,100.0
트래디셔널 터키쉬 딜라이트 (로즈)200g,372,0,0,93,100.0
트래디셔널 터키쉬 딜라이트 (오렌지),391,1,1,95,100.0
트래디셔널 터키쉬 딜라이트 (헤이즐넛) 200g,447,0,16,73,100.0
